username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	0	0
adamelis	0	0
addys	152955776	4339014
adria	16328094	1717704
adrianamg	2426707865	20409686
aleyda	0	0
alicia	87159019	2818536
alida	55514454	5952808
alina	0	0
amarilys	0	0
amarrero	96754513	2614708
ambar	163856726	2682619
amorgado	0	0
ana.laura	5710282	1188527
anagloria	62951769	9854876
anamayra	1259416	159548
ananidia	16862120	1703677
anapilar	0	0
anaraime	0	0
angelica	12995240	1249234
ankumu	55422050	2641654
annerys	0	0
antonio	0	0
aracelys	80478303	36369663
ariadna	1018	702
arismary	88251581	5887179
arletys	230819532	1503712
armando	6345378	603431
arnaldo	0	0
arodriguez	99154278	5572042
atorrella	0	0
avossirini	0	0
aymara	0	0
ayme	10824715	1067584
b.peon	0	0
barbara	0	0
belar	0	0
belkis	175766479	6428626
berta	0	0
biorkys	28984372	972967
blanca	1113656	323594
bmazon	0	0
bobrador	0	0
campos	38908033	2558068
carmen	0	0
carmen.fdez	0	0
carmenevelyn	131419497	25925619
cary	0	0
celeste	0	0
charly	136740932	3247273
chavely	0	0
csanchez	192465774	12245819
cvarela	0	0
dailen	0	0
dainik	161631516	16854695
dalia	0	0
dalila	0	0
danay	0	0
danayd	0	0
dayamim	132719042	7680805
dayanira	1253042	174377
daylin	0	0
dbcruz	0	0
deneb	0	0
denys	0	0
dergis	0	0
dgmitjams	0	0
dhernandez	0	0
diadelis	0	0
dianalay	0	0
dianapr	0	0
dorian	0	0
dulce	6077828	809569
dunia	46800528	3242488
dunia.glez	915890	172659
e.suarez	0	0
ealcolea	311725604	2902959
eileen	142864629	12776858
elenalaviellez	0	0
elsanchez	0	0
elva	0	0
epelaez	0	0
eperez	0	0
erich	8378284	442875
estrella	0	0
evelyn	0	0
evelyn.mayo	0	0
fabien	0	0
faselis	0	0
fausto	14912569	1036875
gabriel	0	0
gilberto	286770114	5065122
giset	0	0
gretel	0	0
grethel	0	0
hendrik	0	0
heredia	509	351
herminio	60514340	6037526
humberto	0	0
idalis	10999905	295088
ileanagr	0	0
ileanasl	0	0
ileanat	0	0
imanuel	75929164	2854525
isac	0	0
ismaray	46325867	6217860
ismary	41926081	6179020
ivan.castellanos	0	0
ivonne	40860422	2217015
ivonnerv	87258196	7455084
jacome	32610695	16504897
jacque	0	0
janette	24323997	3678601
javi.lopez	0	0
jcarrillo	1597802225	23954304
jcasamayor	0	0
jessica	0	0
jfalcon	6236725472	60697425
jorge	0	0
jpuñales	461186486	17851483
jrodriguez	0	0
jvr	74369249	7990545
karenriera	0	0
kenia	164668464	9508995
ksantos	0	0
laura.rivas	99634148	8366189
lazaro	149393724	7901268
lazaro.pina	0	0
lbcubas	0	0
leandy	0	0
leanie	0	0
leonardo	56044125	3112240
leyla	7315655	538014
lgarcia	0	0
liana	0	0
liena	21516743	2622545
liliana	0	0
liris	0	0
lisandra	12347730	39749998
lisette	130798719	5721394
lisi	121250306	11641873
lissy	0	0
lmaria	0	0
loida	0	0
lorena	1643526250	12957915
luis	39970666	2634831
madai	0	0
magda	0	0
manresa	0	0
manuel	509	351
mariam	0	0
marieladp	0	0
marilyn	0	0
mario	0	0
marlenin	0	0
marthah	0	0
maydelin	1038893	333435
maydelin.ds	0	0
mayelin	0	0
mayelis	0	0
maylen	0	0
mayra	0	0
mbravo	67449003	6823299
mcreyes	173095515	5738076
melba	0	0
mercedes	0	0
merleneg	19043037	1398097
meylin	0	0
mhcollazo	0	0
miriam	0	0
mirta	0	0
mirza	0	0
mylene	0	0
naisy	9060272	462601
natacha	13382363	903770
nestor	0	0
nieves	140974432	6361407
niovis	911087	172557
noaris	28801484	1705089
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	6843649	628573
olguita	24399272	2405706
olivia	0	0
orisel	0	0
orlando	60458770	2472657
osmar	312112057	2506558
oxana	0	0
piqueras	0	0
pmando	0	0
rafadiaz	0	0
raidel	0	0
raisi	30582065	2444428
rancol	4478958	186665
raul	33610899	1906278
raulc	25454963	3116495
rcaballero	0	0
regla	63773530	4390568
rene	49074272	3237636
reynaldo	1120435798	13584816
rfuentes	35876321	8499172
rizene	64622933	1989009
roberto	0	0
rodolfo	0	0
rodrigo	0	0
rosa	45975526	3102211
roseli	0	0
rquintanilla	9049753833	49784842
rromero	0	0
salon6	0	0
sarah	0	0
seprot	0	0
servidores	106218237	717254
sheila	0	0
silvita	0	0
sistemas	0	0
sonia	0	0
susel	298121722	16506068
tamara.glez	0	0
urbano	0	0
veronica	0	0
violeta	199421557	16922490
virgilio	0	0
vladimir	0	0
wendy	8720788	717322
xiomara	5007567	192856
yadica	0	0
yadiley	11734951	2189163
yadira	0	0
yahimara	307870028	6744863
yailin	0	0
yalina	509	351
yamila	0	0
yamilacv	67282459	2526515
yamilaloli	0	0
yania	0	0
yanisel	0	0
yarmas	1546531	154659
yborjas	2131494	242131
yelenies	0	0
yency	0	0
ygonzalez	197301712	6197367
ygordo	0	0
ygutierrez	8252361	672493
yisel	0	0
ylima	0	0
yolaine	0	0
yperez	174639241	20454641
yudith	62574749	8101418
yuliet	0	0
yumara	0	0
yumy	0	0
yunier	0	0
yusmari	0	0
zenia	48435257	5812973
zulema	0	0
